Contrast_0,Contrast_45,Contrast_90,Contrast_135,Correlation_0,Correlation_45,Correlation_90,Correlation_135,Energy_0,Energy_45,Energy_90,Energy_135,Homogeneity_0,Homogeneity_45,Homogeneity_90,Homogeneity_135,Label
0.444736842105263,1.8005540166205,1.44736842105263,1.64819944598338,0.9560550049285,0.82170246740344,0.85831895413563,0.839777329478115,0.0598476454293629,0.0357808795205684,0.0386703601108033,0.0372234712747754,0.80219298245614,0.62460757156048,0.650438596491228,0.637673130193906,1
0.421052631578947,0.725761772853186,0.497368421052632,0.764542936288089,0.898799688019815,0.800691441229391,0.866068207705291,0.796247763074689,0.0998753462603878,0.0880518105293851,0.120914127423823,0.0920726513762172,0.803508771929825,0.74353647276085,0.814473684210526,0.738227146814404,1
0.447368421052632,0.808864265927978,0.489473684210526,0.664819944598338,0.938446343279475,0.89329001751049,0.935771546496547,0.91059148520599,0.071814404432133,0.0575732230415666,0.066786703601108,0.0586014533344588,0.818421052631579,0.746537396121884,0.783333333333333,0.740766389658356,1
0.373684210526316,2.13850415512465,2.03684210526316,2.34072022160665,0.973533460991215,0.844228256799093,0.857215113816695,0.839355176311006,0.063421052631579,0.0349061164355706,0.034196675900277,0.0323585607845244,0.83421052631579,0.60078485687904,0.586842105263158,0.576915974145891,1
0.286842105263158,0.831024930747922,0.681578947368421,0.695290858725762,0.973999930840148,0.94088387630423,0.954032513814484,0.948305901028391,0.104238227146814,0.0875914089057021,0.0973407202216067,0.0876374490680704,0.860087719298246,0.738227146814404,0.76030701754386,0.743998153277932,1
0.363157894736842,0.493074792243767,0.334210526315789,0.590027700831025,0.811059701481979,0.734557098020321,0.819103439943032,0.683620400389547,0.142396121883657,0.124853246982451,0.148836565096953,0.108677803270386,0.832456140350877,0.783010156971376,0.83640350877193,0.741920590951062,1
0.315789473684211,0.598337950138504,0.473684210526316,0.634349030470914,0.883568737343739,0.769959434554135,0.826235946362488,0.75232948037127,0.171163434903047,0.140997997252937,0.161578947368421,0.136470714620054,0.852631578947368,0.771006463527239,0.804605263157895,0.762003693444137,1
0.378947368421053,1.74515235457064,1.44473684210526,1.59279778393352,0.982824853071442,0.925614556336021,0.940837798291238,0.934319179345191,0.0621606648199446,0.0387888367952978,0.0469252077562327,0.0421651153689735,0.824561403508772,0.651615881809788,0.700394736842105,0.675115420129271,1
0.510526315789474,1.00831024930748,0.671052631578947,0.980609418282548,0.911289130661263,0.808763111211376,0.874337095843531,0.811615882938409,0.0815927977839335,0.0687916759386438,0.0868975069252078,0.0714926987975844,0.783333333333333,0.700831024930748,0.780570175438597,0.724053554939981,1
0.605263157894737,0.800554016620499,0.421052631578947,0.853185595567867,0.806006360948341,0.743650076759721,0.866486667536007,0.726815000993,0.0918698060941828,0.0814220271483491,0.11106648199446,0.079902701790195,0.763377192982456,0.725300092336103,0.817543859649123,0.720683287165282,1
0.323684210526316,0.67590027700831,0.539473684210526,0.670360110803324,0.913257856352329,0.82069072778128,0.857281195846333,0.827407556900773,0.11101108033241,0.0755135396444165,0.0815650969529086,0.0747001634425764,0.845175438596491,0.745614035087719,0.765350877192982,0.731301939058172,1
0.218421052631579,0.515235457063712,0.360526315789474,0.368421052631579,0.879795125346893,0.701800788002314,0.804182083537599,0.782373420173754,0.239584487534626,0.176955364062584,0.209598337950139,0.202139332878047,0.89078947368421,0.793397968605725,0.844298245614035,0.826869806094183,1
0.452631578947368,0.509695290858726,0.336842105263158,0.722991689750693,0.835224727150701,0.813503547423693,0.873626228469588,0.730205150699678,0.104501385041551,0.103736159176188,0.134930747922438,0.0889572670559618,0.787719298245614,0.774699907663897,0.842105263157895,0.730147737765466,1
